SCENARIO:
 {
    "control": {
        "seed": 42
    }, 
    "file_name": "dt_iris_split_60", 
    "policy": {
        "step_pipeline": 60
    }, 
    "setup": {
        "algorithm": "DecisionTree", 
        "dataset": "iris", 
        "policy": "split", 
        "runtime": 300
    }, 
    "title": "Decision Tree on Iris with Split policy"
}
## Data Pipeline
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.826666666667 (0.104136662345) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.92 (0.106666666667) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.0581186525805) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.926666666667 (0.075718777944) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0611010092661) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.906666666667 (0.0679869268479) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.06) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.886666666667 (0.06) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.92 (0.0653197264742) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.926666666667 (0.0553774924195) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.92 (0.0581186525805) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.86 (0.113333333333) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.9 (0.0537483849887) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.0581186525805) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0326598632371) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.893333333333 (0.0742368581711) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.933333333333 (0.073029674334) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.049888765157) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.94 (0.0466666666667) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.0581186525805) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.92 (0.0653197264742) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0611010092661) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0426874949162) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.913333333333 (0.0669991708075) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.926666666667 (0.0553774924195) [P]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [P]
#################### STEP RESULT ####################
BEST PIPELINE:
 {
    "features": [
        "features_FeatureUnion", 
        {
            "features__pca__n_components": 1, 
            "features__selectkbest__k": 2
        }
    ], 
    "normalizer": [
        "normalizer_RobustScaler", 
        {
            "normalizer__quantile_range": [
                10.0, 
                90.0
            ], 
            "normalizer__with_centering": true, 
            "normalizer__with_scaling": true
        }
    ], 
    "rebalance": [
        "rebalance_NoneType", 
        {}
    ]
}
BEST ALGO CONFIG:
 {}
BEST SCORE: 0.966666666667 (0.0333333333333)
##################################################
## Algorithm
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.94 (0.0466666666667) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.049888765157) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.893333333333 (0.08) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0442216638714) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.049888765157) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.96 (0.0533333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.049888765157) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.846666666667 (0.06) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.04) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.846666666667 (0.06) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.92 (0.0581186525805) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.846666666667 (0.06) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.94 (0.0466666666667) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.78 (0.0733333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.94 (0.0466666666667) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.78 (0.0733333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.56 (0.08) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.766666666667 (0.0683130051064) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.0333333333333) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.666666666667 (1.11022302463e-16) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.953333333333 (0.0520683311727) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.966666666667 (0.04472135955) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.946666666667 (0.0581186525805) [A]
Best score: 0.966666666667 (0.0333333333333) [P] | Score: 0.56 (0.08) [A]
